gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B cells	C2: C1q+IL18+MCs	CD56brightCD16- NK cells	CD56dimCD16+ NK cells	CD8+ Exhausted T	CD8+ GZMB+ T	CD8+ GZMK+ T	MAIT	Naive T	Plasma cells	Treg	gd T
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CC003E0125E	0.009	0.01	0.013	0.007	0.015	0.008	0.003	0.014	0.019	0.0	0.012	0.013
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CC0C3B561BC	0.009	0.01	0.013	0.007	0.015	0.008	0.003	0.014	0.019	0.0	0.012	0.013
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CS004C594E2	0.009	0.01	0.013	0.007	0.015	0.008	0.003	0.014	0.019	0.0	0.012	0.013
ACVR1	Q04771	True	ACVR1_HUMAN	MIS_receptor_3	CPI-CS0B5D1E156	0.0	0.051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS08CC8F9D3	0.012	0.051	0.013	0.007	0.022	0.008	0.011	0.014	0.024	0.008	0.037	0.013
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0E1BF543E	0.012	0.051	0.013	0.007	0.022	0.008	0.011	0.014	0.024	0.008	0.037	0.013
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.012	0.051	0.013	0.007	0.022	0.008	0.011	0.014	0.024	0.008	0.037	0.013
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0AEE2FB22	0.012	0.051	0.013	0.007	0.022	0.008	0.011	0.014	0.024	0.008	0.037	0.013
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS05EAF93CC	0.03	0.104	0.018	0.02	0.034	0.023	0.01	0.029	0.024	0.006	0.014	0.045
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS046BCFC6F	0.03	0.104	0.018	0.02	0.034	0.023	0.01	0.029	0.024	0.006	0.014	0.045
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0F6CFB979	0.03	0.104	0.018	0.02	0.034	0.023	0.01	0.029	0.024	0.006	0.014	0.045
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS090FFEDFE	0.03	0.104	0.018	0.02	0.034	0.023	0.01	0.029	0.024	0.006	0.014	0.045
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0E4E75E3B	0.03	0.104	0.018	0.02	0.034	0.023	0.01	0.029	0.024	0.006	0.014	0.045
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0E54FF657	0.03	0.104	0.018	0.02	0.034	0.023	0.01	0.029	0.024	0.006	0.014	0.045
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0CFA0E4C5	0.03	0.104	0.018	0.02	0.034	0.023	0.01	0.029	0.024	0.006	0.014	0.045
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS08109C435	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS02C93975C	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0EF793D6A	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0484364A2	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS028ACED72	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0107C51C6	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS027D7A724	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0569B9B91	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0700FDD27	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CS00F859B66	0.002	0.017	0.013	0.007	0.009	0.006	0.01	0.008	0.022	0.003	0.008	0.013
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CS04751C6A3	0.002	0.017	0.013	0.007	0.009	0.006	0.01	0.008	0.022	0.003	0.008	0.013
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CS0DD3F421C	0.002	0.017	0.013	0.007	0.009	0.006	0.01	0.008	0.022	0.003	0.008	0.013
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CS0F4A9F786	0.002	0.017	0.013	0.007	0.009	0.006	0.01	0.008	0.022	0.003	0.008	0.013
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CC0490ADAF8	0.002	0.017	0.013	0.007	0.009	0.006	0.01	0.008	0.022	0.003	0.008	0.013
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CC02979D66D	0.002	0.017	0.013	0.007	0.009	0.006	0.01	0.008	0.022	0.003	0.008	0.013
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CC0C6A98CDA	0.002	0.017	0.013	0.007	0.009	0.006	0.01	0.008	0.022	0.003	0.008	0.013
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CS0E467E60C	0.002	0.017	0.013	0.007	0.009	0.006	0.01	0.008	0.022	0.003	0.008	0.013
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A_receptor	CPI-CC041F23977	0.002	0.017	0.02	0.009	0.009	0.006	0.007	0.008	0.022	0.003	0.008	0.013
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A_receptor	CPI-CC05E2C9AF8	0.002	0.017	0.02	0.009	0.009	0.006	0.007	0.008	0.022	0.003	0.008	0.013
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A_receptor	CPI-CC0E6C03753	0.002	0.017	0.02	0.009	0.009	0.006	0.007	0.008	0.022	0.003	0.008	0.013
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A_receptor	CPI-CS03F19BFCB	0.002	0.017	0.02	0.009	0.009	0.006	0.007	0.008	0.022	0.003	0.008	0.013
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A_receptor	CPI-CS05CAC687A	0.002	0.017	0.02	0.009	0.009	0.006	0.007	0.008	0.022	0.003	0.008	0.013
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A_receptor	CPI-CC0D97B02B1	0.002	0.001	0.005	0.001	0.009	0.006	0.006	0.008	0.014	0.003	0.001	0.002
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A_receptor	CPI-CC0680A24B2	0.002	0.001	0.005	0.001	0.009	0.006	0.006	0.008	0.014	0.003	0.001	0.002
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A_receptor	CPI-CC0492F9C60	0.002	0.001	0.005	0.001	0.009	0.006	0.006	0.008	0.014	0.003	0.001	0.002
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A_receptor	CPI-CS096F1E209	0.002	0.001	0.005	0.001	0.009	0.006	0.006	0.008	0.014	0.003	0.001	0.002
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0D35E69F6	0.002	0.017	0.018	0.013	0.009	0.006	0.01	0.008	0.022	0.003	0.008	0.013
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS047EE9E03	0.002	0.017	0.018	0.013	0.009	0.006	0.01	0.008	0.022	0.003	0.008	0.013
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0247DA882	0.002	0.017	0.018	0.013	0.009	0.006	0.01	0.008	0.022	0.003	0.008	0.013
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0C091F24B	0.002	0.017	0.018	0.013	0.009	0.006	0.01	0.008	0.022	0.003	0.008	0.013
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS075442484	0.002	0.017	0.018	0.013	0.009	0.006	0.01	0.008	0.022	0.003	0.008	0.013
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS012D15A88	0.002	0.017	0.018	0.013	0.009	0.006	0.01	0.008	0.022	0.003	0.008	0.013
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS05789C9A0	0.002	0.017	0.018	0.013	0.009	0.006	0.01	0.008	0.022	0.003	0.008	0.013
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0DAA66443	0.002	0.017	0.018	0.013	0.009	0.006	0.01	0.008	0.022	0.003	0.008	0.013
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0DF85303A	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS01A4D7E2F	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0921BB754	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS01319F57A	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS08A043594	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS02957B1BF	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0BDA0D08C	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS069E2161D	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CS0B174B76B	0.009	0.01	0.013	0.007	0.015	0.008	0.003	0.014	0.019	0.0	0.012	0.013
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CS0FA9360D5	0.009	0.01	0.013	0.007	0.015	0.008	0.003	0.014	0.019	0.0	0.012	0.013
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CS0306FC954	0.009	0.01	0.013	0.007	0.015	0.008	0.003	0.014	0.019	0.0	0.012	0.013
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CS03D4B768E	0.009	0.01	0.013	0.007	0.015	0.008	0.003	0.014	0.019	0.0	0.012	0.013
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CC0E18AEFB6	0.009	0.01	0.013	0.007	0.015	0.008	0.003	0.014	0.019	0.0	0.012	0.013
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CC003E0125E	0.009	0.01	0.013	0.007	0.015	0.008	0.003	0.014	0.019	0.0	0.012	0.013
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CC0C3B561BC	0.009	0.01	0.013	0.007	0.015	0.008	0.003	0.014	0.019	0.0	0.012	0.013
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CS004C594E2	0.009	0.01	0.013	0.007	0.015	0.008	0.003	0.014	0.019	0.0	0.012	0.013
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CC0C18A9B16	0.007	0.01	0.021	0.007	0.015	0.01	0.003	0.026	0.019	0.0	0.01	0.021
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CC0CC548F18	0.007	0.01	0.021	0.007	0.015	0.01	0.003	0.026	0.019	0.0	0.01	0.021
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CC031341B06	0.007	0.01	0.021	0.007	0.015	0.01	0.003	0.026	0.019	0.0	0.01	0.021
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CS08387C315	0.007	0.01	0.021	0.007	0.015	0.01	0.003	0.026	0.019	0.0	0.01	0.021
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CS0A79056B0	0.007	0.01	0.021	0.007	0.015	0.01	0.003	0.026	0.019	0.0	0.01	0.021
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CS0DD047CC3	0.007	0.01	0.021	0.007	0.015	0.01	0.003	0.026	0.019	0.0	0.01	0.021
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B_receptor	CPI-CC099977BFA	0.006	0.001	0.005	0.001	0.011	0.008	0.003	0.02	0.014	0.0	0.001	0.002
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B_receptor	CPI-CC0BCF8F0E9	0.006	0.001	0.005	0.001	0.011	0.008	0.003	0.02	0.014	0.0	0.001	0.002
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B_receptor	CPI-CC065C6CA6D	0.006	0.001	0.005	0.001	0.011	0.008	0.003	0.02	0.014	0.0	0.001	0.002
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B_receptor	CPI-CS09DFE4623	0.006	0.001	0.005	0.001	0.011	0.008	0.003	0.02	0.014	0.0	0.001	0.002
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0C99F8D96	0.009	0.01	0.018	0.007	0.015	0.014	0.003	0.026	0.019	0.0	0.012	0.021
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0CA393CC5	0.009	0.01	0.018	0.007	0.015	0.014	0.003	0.026	0.019	0.0	0.012	0.021
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS076E1A639	0.009	0.01	0.018	0.007	0.015	0.014	0.003	0.026	0.019	0.0	0.012	0.021
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS017A50010	0.009	0.01	0.018	0.007	0.015	0.014	0.003	0.026	0.019	0.0	0.012	0.021
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0BE59B43E	0.009	0.01	0.018	0.007	0.015	0.014	0.003	0.026	0.019	0.0	0.012	0.021
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0BCDC40FC	0.009	0.01	0.018	0.007	0.015	0.014	0.003	0.026	0.019	0.0	0.012	0.021
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0E5078EDE	0.009	0.01	0.018	0.007	0.015	0.014	0.003	0.026	0.019	0.0	0.012	0.021
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS036BF2AC7	0.009	0.01	0.018	0.007	0.015	0.014	0.003	0.026	0.019	0.0	0.012	0.021
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS08A853007	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS0BEC40E19	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS0C0D60519	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS03DF8BD36	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS058910188	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS0E997FABD	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS055E15573	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS089A36491	0.0	0.001	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A_receptor	CPI-CC041F23977	0.002	0.017	0.02	0.009	0.009	0.006	0.007	0.008	0.022	0.003	0.008	0.013
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A_receptor	CPI-CC05E2C9AF8	0.002	0.017	0.02	0.009	0.009	0.006	0.007	0.008	0.022	0.003	0.008	0.013
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A_receptor	CPI-CC0E6C03753	0.002	0.017	0.02	0.009	0.009	0.006	0.007	0.008	0.022	0.003	0.008	0.013
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A_receptor	CPI-CS03F19BFCB	0.002	0.017	0.02	0.009	0.009	0.006	0.007	0.008	0.022	0.003	0.008	0.013
